area,sub_area,UNHCR_outcome_area,date_collection,indicator,value,population_group,location,comment,source,publication,data_source,tags,publicly_available_microdata,publicly_available_methodology,publicly_available_questionnaire,methodology_overview,limitations
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2023,% of respondents who indicated the date of arrival to the host country between February to April 2022,80,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size: 3,907 respondents. The data was weighted by country, time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2024,% of respondents who indicated the date of arrival to the host country between February to April 2022,78,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size for country: 222 respondents. The data was weighted by time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2025,% of respondents who indicated the date of arrival to the host country between February to April 2022,72,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size for country: 333 respondents. The data was weighted by time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2026,% of respondents who indicated the date of arrival to the host country between February to April 2022,98,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size for country: 495 respondents. The data was weighted by time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2027,% of respondents who indicated the date of arrival to the host country between February to April 2022,68,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size for country: 489 respondents. The data was weighted by time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2028,% of respondents who indicated the date of arrival to the host country between February to April 2022,55,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size for country: 495 respondents. The data was weighted by time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2029,% of respondents who indicated the date of arrival to the host country between February to April 2022,78,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,"Total survey sample size for country: 489 respondents. The data was weighted by time of arrival and group composition. Probability sampling, stratified by time of arrival and group composition.",
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2030,% of respondents who indicated the date of arrival to the host country between May to August 2022,14,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2031,% of respondents who indicated the date of arrival to the host country between May to August 2022,15,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2032,% of respondents who indicated the date of arrival to the host country between May to August 2022,19,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2033,% of respondents who indicated the date of arrival to the host country between May to August 2022,2,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2034,% of respondents who indicated the date of arrival to the host country between May to August 2022,17,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2035,% of respondents who indicated the date of arrival to the host country between May to August 2022,24,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2036,% of respondents who indicated the date of arrival to the host country between May to August 2022,15,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2037,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,6,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2038,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,7,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2039,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,9,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2040,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,0,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2041,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,15,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2042,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,21,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,,December 2022 to May 2043,% of respondents who indicated the date of arrival to the host country between September 2022 to January 2023 or later,7,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,arrival; date; host country,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2044,% of respondents who indicated having an intact dwelling in Ukraine,63,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2045,% of respondents who indicated having an intact dwelling in Ukraine,60,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2046,% of respondents who indicated having an intact dwelling in Ukraine,59,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2047,% of respondents who indicated having an intact dwelling in Ukraine,70,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2048,% of respondents who indicated having an intact dwelling in Ukraine,71,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2049,% of respondents who indicated having an intact dwelling in Ukraine,69,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2050,% of respondents who indicated having an intact dwelling in Ukraine,64,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2051,% of respondents who indicated having a damaged dwelling in Ukraine,17,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2052,% of respondents who indicated having a damaged dwelling in Ukraine,15,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2053,% of respondents who indicated having a damaged dwelling in Ukraine,21,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2054,% of respondents who indicated having a damaged dwelling in Ukraine,13,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2055,% of respondents who indicated having a damaged dwelling in Ukraine,13,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2056,% of respondents who indicated having a damaged dwelling in Ukraine,14,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
3.3 Empowering communities and achieveing gender equality,"Land, housing
and property
rights",voluntary repatriation and sustainable reintegration,December 2022 to May 2057,% of respondents who indicated having a damaged dwelling in Ukraine,18,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,dwelling; home in Ukraine; house ownership,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2058,% of households surveyed with spouse and/or children still located in Ukraine,37,refugee,Regional,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2059,% of households surveyed with spouse and/or children still located in Ukraine,33,refugee,Czechia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2060,% of households surveyed with spouse and/or children still located in Ukraine,42,refugee,Germany,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2061,% of households surveyed with spouse and/or children still located in Ukraine,37,refugee,Poland,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2062,% of households surveyed with spouse and/or children still located in Ukraine,39,refugee,Moldova,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2063,% of households surveyed with spouse and/or children still located in Ukraine,38,refugee,Romania,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
2.1 Population Demographics ,Population characteristics,voluntary repatriation and sustainable reintegration,December 2022 to May 2064,% of households surveyed with spouse and/or children still located in Ukraine,43,refugee,Slovakia,,UNHCR,Regional Intentions Survey 3rd Round,Survey,household; spouse; children; family; return,yes,yes,yes,,
